"SourceReef","Longitude","Latitude","Density","OutDegree","InDegree","OutStrength","InStrength","SelfRecruitment","LocalRetention","NetExport","Betweenness","Type","temperature","salinity","pH"
"STM_04",-76.444,38.192,98.564,28,28,1,1.009,0.048,0.048,-0.009,0,"Balanced",16.438,11.531,8.249
"STM_01",-76.443,38.188,66.875,28,28,1,0.967,0.052,0.052,0.033,0,"Source",16.438,11.687,8.26
"STM_05",-76.449,38.192,325.75,28,28,1,1.109,0.04,0.04,-0.109,0,"Sink",16.405,11.357,8.24
"STM_10",-76.457,38.203,61.981,28,28,1,0.952,0.038,0.038,0.048,0,"Source",16.562,10.56,8.259
"STM_22",-76.443,38.198,30.455,28,28,1,1.065,0.044,0.044,-0.065,0,"Sink",16.453,11.481,8.245
"STM_23",-76.442,38.198,55,28,28,1,1.021,0.046,0.046,-0.021,0,"Balanced",16.453,11.481,8.245
"STM_03",-76.443,38.192,38.551,28,28,1,1.031,0.048,0.048,-0.031,0,"Sink",16.438,11.531,8.249
"STM_09",-76.453,38.201,70.125,28,28,1,1.022,0.039,0.039,-0.022,0,"Balanced",16.495,11.17,8.249
"STM_32",-76.441,38.19,58.125,28,28,1,1.069,0.047,0.047,-0.069,0,"Sink",16.438,11.687,8.26
"STM_06",-76.449,38.192,227.2,28,28,1,1.109,0.04,0.04,-0.109,0,"Sink",16.405,11.357,8.24
"STM_24",-76.434,38.197,290.8,28,28,1,1.013,0.048,0.048,-0.013,0,"Balanced",16.559,11.845,8.226
"STM_07",-76.455,38.196,92,28,28,1,0.997,0.042,0.042,0.003,0,"Balanced",16.392,11.344,8.229
"STM_11",-76.455,38.21,120.364,28,28,1,0.807,0.046,0.046,0.193,0,"Source",16.654,10.389,8.27
"STM_12",-76.455,38.209,151.909,28,28,1,0.823,0.046,0.046,0.177,0,"Source",16.654,10.389,8.27
"STM_13",-76.452,38.208,130.039,28,28,1,0.838,0.049,0.049,0.162,0,"Source",NA,NA,NA
"STM_16",-76.448,38.198,102,28,28,1,1.074,0.04,0.04,-0.074,0,"Sink",16.495,11.17,8.249
"STM_17",-76.447,38.198,352.544,28,28,1,1.076,0.041,0.041,-0.076,0,"Sink",16.453,11.481,8.245
"STM_28",-76.432,38.196,153.231,28,28,1,1.012,0.049,0.049,-0.012,0,"Balanced",16.483,11.873,8.235
"STM_34",-76.431,38.192,94.064,28,28,1,0.999,0.051,0.051,0.001,0,"Balanced",16.483,11.873,8.235
"MiniPlantingArea3",-76.456,38.196,178.42,28,28,1,0.995,0.042,0.042,0.005,0,"Source",16.392,11.344,8.229
"PlantingArea6",-76.456,38.195,173.56,28,28,1,0.996,0.042,0.042,0.004,0,"Balanced",16.392,11.344,8.229
"PlantingArea5",-76.455,38.196,221.31,28,28,1,0.995,0.042,0.042,0.005,0,"Source",16.392,11.344,8.229
"MiniPlantingArea2",-76.455,38.196,182.37,28,28,1,0.997,0.042,0.042,0.003,0,"Balanced",16.392,11.344,8.229
"MiniPlantingArea1",-76.454,38.197,244.55,28,28,1,1.01,0.04,0.04,-0.01,0,"Balanced",16.495,11.17,8.249
"PlantingArea3",-76.454,38.197,161.15,28,28,1,0.997,0.041,0.041,0.003,0,"Balanced",16.419,10.931,8.243
"PlantingArea2",-76.454,38.198,208.74,28,28,1,1.008,0.039,0.039,-0.008,0,"Balanced",16.495,11.17,8.249
"PlantingArea1",-76.454,38.199,184.25,28,28,1,1.006,0.039,0.039,-0.006,0,"Balanced",16.495,11.17,8.249
"5-acreReefSite",-76.431,38.191,240.66,28,28,1,1.004,0.051,0.051,-0.004,0,"Balanced",16.303,11.868,8.249
